DoseRespID,ObsID,Dose,DoseUnit,TotalAnimals,WithTumours
35201,10006,0,mg/kg bw,50,0
35202,10007,0,ppm,50,0
35228,10040,0,ppm,106,1
2059,10043,0,mg/kg bw,15,1
2060,10044,0,mg/kg bw,15,0
35243,10072,0,ppm,54,1
35244,10073,0,ppm,107,1
35245,10074,0,ppm,54,1
35246,10075,0,ppm,106,1
35281,10138,0,mg/kg bw,50,10
2101,10139,0,mg/kg bw,50,15
2104,10144,0,ppm,50,10
35284,10145,0,ppm,50,25
35308,10179,0,mg/kg bw,98,1
2128,10204,0,ppm,49,0
2129,10205,0,ppm,50,0
35320,10206,0,ppm,50,0
35321,10207,0,ppm,50,0
35410,10312,0,mg/kg bw,50,4
35411,10313,0,mg/kg bw,50,1
2148,10322,0,ppm,50,6
35417,10323,0,ppm,50,0
35448,10366,0,mg/kg bw,98,1
35481,10406,0,ppm,54,1
35482,10407,0,ppm,107,1
35483,10408,0,ppm,54,2
35484,10409,0,ppm,106,4
35527,10458,0,ppm,50,0
35652,10607,0,ppm,50,1
124036,10641,0,ppm,100,0
124037,10642,0,ppm,100,0
35680,10646,0,ppm,50,1
35701,10673,0,mg/kg bw,50,0
35702,10674,0,mg/kg bw,50,1
35703,10675,0,mg/kg bw,50,1
35706,10678,0,ppm,50,1
35719,10696,0,mg/kg bw,50,0
35722,10699,0,ppm,50,0
35736,10716,0,mg/kg bw,98,1
35745,10730,0,mg/kg bw,50,0
35758,10747,0,mg/kg bw,50,0
35768,10761,0,ppm,50,0
35798,10793,0,ppm,50,0
2278,10996,0,mg/kg bw,50,4
35954,10997,0,mg/kg bw,50,10
35955,10998,0,mg/kg bw,50,1
2279,10999,0,mg/kg bw,50,0
35957,11004,0,mg/kg bw,15,2
2285,11009,0,ppm,50,0
35960,11010,0,ppm,50,14
35961,11011,0,ppm,50,4
35962,11012,0,ppm,50,4
36003,11081,0,mg/kg bw,98,1
36043,11143,0,ppm,50,0
36044,11144,0,ppm,50,0
36049,11155,0,mg/kg bw,30,1
2380,11292,0,mg/kg bw,50,2
2381,11293,0,mg/kg bw,50,6
36148,11294,0,mg/kg bw,50,1
36149,11295,0,mg/kg bw,50,1
36153,11303,0,ppm,50,1
36154,11304,0,ppm,50,2
2386,11305,0,ppm,50,0
36228,11405,0,ppm,54,1
36229,11406,0,ppm,106,1
2413,11413,0,mg/kg bw,80,0
36326,11517,0,mg/kg bw,50,2
36327,11518,0,mg/kg bw,50,2
36328,11519,0,mg/kg bw,50,0
36331,11523,0,mg/kg bw,15,0
36334,11528,0,ppm,50,0
36335,11529,0,ppm,50,1
36336,11530,0,ppm,50,0
36337,11531,0,ppm,50,0
2438,11579,0,mg/kg bw,98,0
2443,11616,0,ppm,50,0
2444,11617,0,ppm,50,0
36432,11644,0,mg/kg bw,50,0
36435,11647,0,ppm,50,0
36436,11648,0,ppm,50,0
36442,11658,0,mg/kg bw,50,1
36443,11659,0,ppm,50,1
36481,11711,0,ppm,50,0
36519,11753,0,mg/kg bw,50,1
36520,11755,0,ppm,50,0
2473,11765,0,mg/kg bw,98,0
36535,11774,0,ppm,107,1
36536,11775,0,ppm,106,1
36555,11796,0,ppm,50,0
36582,11829,0,ppm,50,0
36619,11875,0,mg/kg bw,50,0
36620,11879,0,ppm,50,0
2526,11954,0,mg/kg bw,50,2
2527,11955,0,mg/kg bw,50,4
36665,11960,0,ppm,50,2
36733,12058,0,mg/kg bw,50,1
36805,12145,0,mg/kg bw,50,1
36806,12146,0,mg/kg bw,50,0
36807,12147,0,mg/kg bw,50,0
2580,12153,0,ppm,50,0
2581,12154,0,ppm,50,0
36837,12192,0,mg/kg bw,98,0
36866,12225,0,ppm,50,0
36867,12226,0,ppm,50,0
36868,12227,0,ppm,50,0
2596,12242,0,mg/kg bw,15,1
2597,12243,0,mg/kg bw,15,0
36889,12266,0,ppm,54,1
36890,12267,0,ppm,107,1
36891,12268,0,ppm,54,1
36892,12269,0,ppm,106,1
36932,12330,0,mg/kg bw,50,9
2631,12331,0,mg/kg bw,50,12
2634,12336,0,ppm,50,4
36935,12337,0,ppm,50,22
2661,12393,0,ppm,49,0
2662,12394,0,ppm,50,0
36965,12395,0,ppm,50,0
36966,12396,0,ppm,50,0
37048,12497,0,mg/kg bw,50,4
37049,12498,0,mg/kg bw,50,1
37050,12499,0,mg/kg bw,50,0
2685,12506,0,ppm,50,4
37053,12507,0,ppm,50,0
37087,12549,0,mg/kg bw,98,2
37116,12588,0,ppm,54,1
37117,12589,0,ppm,107,1
37118,12590,0,ppm,54,2
37119,12591,0,ppm,106,4
37234,12728,0,mg/kg bw,50,0
37235,12729,0,mg/kg bw,50,0
37238,12733,0,ppm,50,1
37239,12734,0,ppm,50,0
37311,12821,0,mg/kg bw,50,0
2745,12825,0,ppm,50,0
37386,12910,0,mg/kg bw,50,0
2780,13062,0,ppm,49,0
2781,13063,0,ppm,50,0
37513,13064,0,ppm,50,0
37514,13065,0,ppm,50,0
37561,13115,0,mg/kg bw,50,1
37586,13147,0,ppm,50,0
37603,13171,0,ppm,50,0
37604,13172,0,ppm,106,1
37728,13311,0,mg/kg bw,50,0
37730,13313,0,ppm,50,0
37731,13314,0,ppm,50,0
2815,13322,0,mg/kg bw,98,0
37747,13332,0,ppm,54,1
37748,13333,0,ppm,106,1
37778,13372,0,mg/kg bw,50,1
37779,13373,0,mg/kg bw,50,1
2826,13376,0,ppm,50,0
37781,13377,0,ppm,50,4
37834,13443,0,mg/kg bw,50,1
37836,13446,0,ppm,50,0
2842,13470,0,ppm,50,0
2843,13471,0,ppm,50,0
37954,13598,0,mg/kg bw,50,0
38012,13673,0,ppm,50,0
